Gene_Symbol,Detection_Rate_%,Mean_CPM_percell_All,Mean_CPM_percell_Only_Detected,Aggregated_CPM,Cell_Type,Replicate,Dataset,Sample_ID,QC_Min_Genes,Cells_Passing_QC,Median_Genes_Per_Cell,Gene_Found
CACNA1E,0.05,0.0015999999595806003,3.129699945449829,0.01940000057220459,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CACNA1S,0.0,0.0,0.0,0.0,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CALM1,88.08,5.2256999015808105,5.9328999519348145,475.4078063964844,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CALM2,86.79,4.9791998863220215,5.736999988555908,348.466796875,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CALM3,88.34,5.099599838256836,5.772799968719482,352.5015869140625,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CAMK2A,0.26,0.010400000028312206,4.017000198364258,0.09700000286102295,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CAPN3,0.62,0.020800000056624413,3.3564999103546143,0.25220000743865967,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CAPN5,25.8,0.9603000283241272,3.722100019454956,12.783300399780273,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CARD11,10.84,0.38260000944137573,3.530900001525879,4.480999946594238,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CASQ2,0.1,0.0027000000700354576,2.6393001079559326,0.03880000114440918,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CASR,0.1,0.003000000026077032,2.896399974822998,0.03880000114440918,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CAV1,39.53,1.569000005722046,3.9695000648498535,29.93120002746582,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CAV3,0.1,0.003100000089034438,3.036900043487549,0.03880000114440918,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CBL,23.17,0.8403000235557556,3.6270999908447266,10.940500259399414,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CCM2,61.15,2.5264999866485596,4.131899833679199,51.42430114746094,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CCND2,33.18,1.3043999671936035,3.9314000606536865,27.13789939880371,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CD164,86.79,4.592299938201904,5.291200160980225,204.281005859375,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
CD2AP,55.52,2.273099899291992,4.094099998474121,43.33530044555664,iPSC-liver/hepatocyte,Dataset 1,GSM5009365,GSM5009365_WA_WR_0709_4,200,1938,4459.0,True
